Full Name,Amount,Description,Social ID
Craig Cherry,530040,Caught hand in conveyor belt,266-36-8893
Andre White,425210,Injury from heavy machinery,802-42-9004
Lucas Edwards,250273,Cut by sharp tool in workshop,880-95-4114
Victoria Newman,651591,Electrical shock while fixing wiring,769-52-7389
William Hernandez,177552,Burn injury from chemical spill,513-75-9795
Kenneth Hawkins,845572,Injury from heavy machinery,100-77-3322
Amy Burton,269520,Electrical shock while fixing wiring,538-75-2254
Corey Edwards,782792,Carpal tunnel syndrome from repetitive motion,129-12-2826
Kelly Frazier,111532,Hit by falling object on construction site,454-41-9151
Cristina White,535163,Cut by sharp tool in workshop,367-68-2771
Sherry Fischer,583595,Back injury from lifting heavy boxes,461-82-7586
Kenneth Baldwin,842706,Caught hand in conveyor belt,296-82-2197
Michelle Choi,368262,Slipped and fell in the warehouse,591-44-6297
Christopher Thompson,363268,Injury from heavy machinery,554-42-8437
Eric Harris,540420,Burn injury from chemical spill,873-13-4021
Leah Daniels,843631,Forklift accident in loading dock,453-29-9905
Mr. Kelly Alexander,581603,Back injury from lifting heavy boxes,535-56-5770
Dr. Darren Hall,291026,Slipped and fell in the warehouse,352-57-9374
Barbara Young,44740,Hit by falling object on construction site,604-45-6306
Ian Little,117749,Slipped and fell in the warehouse,706-75-5964
Tina Curtis,829729,Electrical shock while fixing wiring,342-86-7249
Samuel Wagner,545039,Burn injury from chemical spill,904-93-4669
Kyle Lopez,853007,Electrical shock while fixing wiring,531-81-5071
Michelle Buckley,922328,Slipped and fell in the warehouse,690-48-8500
Kimberly Hernandez,910717,Forklift accident in loading dock,980-28-1234
Christy Sanchez,512151,Hit by falling object on construction site,264-84-4688
Richard Williams,855295,Electrical shock while fixing wiring,930-28-9181
Sabrina King,36159,Hit by falling object on construction site,480-55-8571
Eric Wright,249402,Burn injury from chemical spill,287-74-2043
Leslie Butler,79792,Caught hand in conveyor belt,199-28-3406
James Bailey,599114,Caught hand in conveyor belt,365-65-8269
Paul Romero,277379,Hit by falling object on construction site,959-84-1176
Warren Pham,653771,Electrical shock while fixing wiring,184-90-2542
Amy Johnston,364235,Forklift accident in loading dock,607-21-9471
Monica Hooper,362988,Caught hand in conveyor belt,774-61-7087
